"LokalID"	"predator"	"Lokal"	"Individ"	"n_shoots"	"h_shoot"	"n_fl"	"phen_index"	"most_adv"	"n_eggs"	"n_pred_all"	"n_aborted_all"	"perc_undeveloped"	"n_intact_fruits"	"n_seeds"	"attack"	"date"	"date_julian"	"year"	"apply_to_phen_1ago"	"phen_corr"
"72"	"Ale001"	1	"Bockemossen"	72	1	13,6	1	1	1	0	0	2	NA	1	150	0	"30/07/2010"	211	2010	0,285714286	1,285714286
"73"	"Ale001"	1	"Bockemossen"	73	1	6,2	5	1,8	3	0	1	0	NA	4	380	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"74"	"Ale001"	1	"Bockemossen"	74	3	18,3	3	1,333333333	2	2	3	0	NA	0	NA	1	"30/07/2010"	211	2010	0,285714286	2,285714286
"75"	"Ale001"	1	"Bockemossen"	75	2	18	1	2	2	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	2,285714286
"76"	"Ale001"	1	"Bockemossen"	76	2	14,4	2	2	3	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"77"	"Ale001"	1	"Bockemossen"	77	3	23,3	5	1,2	2	4	4	0	NA	1	280	1	"30/07/2010"	211	2010	0,285714286	2,285714286
"78"	"Ale001"	1	"Bockemossen"	78	1	31,5	5	1,2	2	0	3	0	NA	2	330	0	"30/07/2010"	211	2010	0,285714286	2,285714286
"79"	"Ale001"	1	"Bockemossen"	79	1	30,6	6	1,833333333	3	1	4	1	NA	2	140	1	"30/07/2010"	211	2010	0,285714286	3,285714286
"80"	"Ale001"	1	"Bockemossen"	80	1	25,2	2	2,5	3	0	2	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"81"	"Ale001"	1	"Bockemossen"	81	2	24,5	1	3	3	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"82"	"Ale001"	1	"Bockemossen"	82	2	19,8	2	2,5	3	0	1	0	NA	1	420	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"83"	"Ale001"	1	"Bockemossen"	83	28	18,2	3	1,666666667	3	2	2	0	NA	0	NA	1	"30/07/2010"	211	2010	0,285714286	3,285714286
"84"	"Ale001"	1	"Bockemossen"	84	3	20,1	4	2	3	0	2	2	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"85"	"Ale001"	1	"Bockemossen"	85	5	21	4	2,25	3	0	3	0	NA	1	260	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"86"	"Ale001"	1	"Bockemossen"	86	1	17,7	4	1,75	2	0	2	0	NA	2	0	0	"30/07/2010"	211	2010	0,285714286	2,285714286
"87"	"Ale001"	1	"Bockemossen"	87	2	18,5	3	2	2	1	2	0	NA	1	130	1	"30/07/2010"	211	2010	0,285714286	2,285714286
"88"	"Ale001"	1	"Bockemossen"	88	4	19,1	5	3,4	5	0	4	0	100	1	0	0	"30/07/2010"	211	2010	0,285714286	5,285714286
"89"	"Ale001"	1	"Bockemossen"	89	3	23,7	5	2,2	3	0	2	4	NA	3	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"90"	"Ale001"	1	"Bockemossen"	90	2	20,3	3	1,666666667	3	0	2	1	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"91"	"Ale001"	1	"Bockemossen"	91	4	19,2	3	1,333333333	2	0	1	0	NA	1	0	0	"30/07/2010"	211	2010	0,285714286	2,285714286
"92"	"Ale001"	1	"Bockemossen"	92	1	20,2	4	1,25	2	0	0	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	2,285714286
"93"	"Ale001"	1	"Bockemossen"	93	1	17,9	2	1	1	0	0	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	1,285714286
"94"	"Ale001"	1	"Bockemossen"	94	2	18,6	2	1,5	2	0	2	1	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	2,285714286
"95"	"Ale001"	1	"Bockemossen"	95	1	17,7	1	3	3	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"96"	"Ale001"	1	"Bockemossen"	96	3	23,7	3	1,666666667	3	0	2	0	NA	1	0	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"97"	"Ale001"	1	"Bockemossen"	97	3	31,5	5	3,2	4	0	0	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"98"	"Ale001"	1	"Bockemossen"	98	4	29,3	5	1,8	3	2	1	0	NA	3	960	1	"30/07/2010"	211	2010	0,285714286	3,285714286
"99"	"Ale001"	1	"Bockemossen"	99	1	27,5	4	2,75	3	4	3	0	NA	2	1100	1	"30/07/2010"	211	2010	0,285714286	3,285714286
"100"	"Ale001"	1	"Bockemossen"	100	2	29,4	5	2	3	0	3	0	100	2	790	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"101"	"Ale010"	0	"Stora Kroksjön Ö stranden"	1	1	27,6	1	2	2	0	0	0	NA	1	550	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"102"	"Ale010"	0	"Stora Kroksjön Ö stranden"	2	2	15,6	1	1	1	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	0,571428571
"103"	"Ale010"	0	"Stora Kroksjön Ö stranden"	3	1	19,8	1	1	1	0	1	0	0	0	0	0	"04/08/2010"	216	2010	-0,428571429	0,571428571
"104"	"Ale010"	0	"Stora Kroksjön Ö stranden"	4	1	20,6	1	1	1	0	0	0	NA	1	400	0	"04/08/2010"	216	2010	-0,428571429	0,571428571
"105"	"Ale010"	0	"Stora Kroksjön Ö stranden"	5	1	30,2	3	2,666666667	4	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	3,571428571
"106"	"Ale010"	0	"Stora Kroksjön Ö stranden"	6	3	20,6	2	2	3	0	0	1	NA	1	170	0	"04/08/2010"	216	2010	-0,428571429	2,571428571
"107"	"Ale010"	0	"Stora Kroksjön Ö stranden"	7	1	20,5	1	2	2	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"108"	"Ale010"	0	"Stora Kroksjön Ö stranden"	8	3	18,2	1	2	2	0	1	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"109"	"Ale010"	0	"Stora Kroksjön Ö stranden"	9	1	22	2	1,5	2	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"110"	"Ale010"	0	"Stora Kroksjön Ö stranden"	10	1	31,7	5	3	5	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	4,571428571
"111"	"Ale010"	0	"Stora Kroksjön Ö stranden"	11	1	35,1	3	3,333333333	4	0	0	0	NA	3	1620	0	"04/08/2010"	216	2010	-0,428571429	3,571428571
"112"	"Ale010"	0	"Stora Kroksjön Ö stranden"	12	1	19,2	2	3,5	5	0	1	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	4,571428571
"113"	"Ale010"	0	"Stora Kroksjön Ö stranden"	13	1	20,3	1	1	1	0	1	0	20	0	210	0	"04/08/2010"	216	2010	-0,428571429	0,571428571
"114"	"Ale010"	0	"Stora Kroksjön Ö stranden"	14	1	18,6	3	1	1	0	3	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	0,571428571
"115"	"Ale010"	0	"Stora Kroksjön Ö stranden"	15	1	15,4	1	3	3	0	0	0	NA	1	330	0	"04/08/2010"	216	2010	-0,428571429	2,571428571
"116"	"Ale010"	0	"Stora Kroksjön Ö stranden"	16	1	22,9	2	2,5	4	0	1	0	NA	1	620	0	"04/08/2010"	216	2010	-0,428571429	3,571428571
"117"	"Ale010"	0	"Stora Kroksjön Ö stranden"	17	2	12	1	1	1	0	1	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	0,571428571
"118"	"Ale010"	0	"Stora Kroksjön Ö stranden"	18	2	15,3	1	1	1	0	1	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	0,571428571
"119"	"Ale010"	0	"Stora Kroksjön Ö stranden"	19	1	13,5	1	2	2	0	0	0	NA	1	270	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"120"	"Ale010"	0	"Stora Kroksjön Ö stranden"	20	2	19,7	1	2	2	0	0	0	NA	1	30	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"121"	"Ale010"	0	"Stora Kroksjön Ö stranden"	21	1	17,6	1	2	2	0	1	1	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"122"	"Ale010"	0	"Stora Kroksjön Ö stranden"	22	1	29,2	1	2	2	0	1	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"123"	"Ale010"	0	"Stora Kroksjön Ö stranden"	23	1	22	1	3	3	0	0	0	NA	2	1560	0	"04/08/2010"	216	2010	-0,428571429	2,571428571
