predator	LokalID	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	n_intact_fruits	attack	year	prop_pred	prop_pred_c	prop_int_fr	prop_int_fr_c
0	Bor012	17	4	16,5	1	2	2	0	1	0	0	0	2010	1	1	0	0
0	Bor012	18	6	22,5	1	4	4	0	0	0	1	0	2010	0	0	1	1
0	Bor012	19	5	40,6	2	2,5	3	0	0	0	2	0	2010	0	0	1	1
0	Bor012	20	4	30,5	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	21	9	28	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	22	6	31	1	3	3	0	1	0	1	0	2010	1	1	1	1
0	Bor012	23	4	15,3	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	24	8	25,6	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	25	1	31,1	2	3,5	5	0	0	0	2	0	2010	0	0	1	1
0	Bor012	26	2	37,5	2	3	4	0	0	0	1	0	2010	0	0	0,5	0,5
0	Bor012	27	6	33,7	1	4	4	0	0	0	1	0	2010	0	0	1	1
0	Bor012	28	4	30,5	1	4	4	0	0	0	1	0	2010	0	0	1	1
0	Bor012	29	6	24,7	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	30	12	30	2	4	5	0	0	0	2	0	2010	0	0	1	1
0	Bor012	31	10	22,7	1	1	1	0	0	0	1	0	2010	0	0	1	1
0	Bor012	32	3	17,6	1	4	4	0	0	0	1	0	2010	0	0	1	1
0	Bor012	33	3	26,5	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	34	6	29,8	2	3	5	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
0	Bor012	35	4	24,1	3	3	5	0	0	0	2	0	2010	0	0	0,66666667	0,66666667
0	Bor012	36	8	26,6	3	2	4	0	1	0	0	0	2010	0,33333333	0,33333333	0	0
0	Bor012	37	2	9,4	1	2	2	0	1	0	0	0	2010	1	1	0	0
0	Bor012	38	3	14,6	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Bor012	39	4	29,6	4	2,5	4	0	2	0	2	0	2010	0,5	0,5	0,5	0,5
0	Bor012	40	2	27,7	2	3	4	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
0	Bor012	41	2	25,5	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	42	3	22,1	1	4	4	0	0	0	1	0	2010	0	0	1	1
0	Bor012	43	2	15,2	1	2	2	0	1	0	0	0	2010	1	1	0	0
0	Bor012	44	5	24,3	3	2,33333333	3	0	2	0	1	0	2010	0,66666667	0,66666667	0,33333333	0,33333333
0	Bor012	45	4	21	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	46	3	17,7	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	47	2	21,1	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	48	3	11,2	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	49	4	21,2	2	3,5	5	0	0	0	1	0	2010	0	0	0,5	0,5
0	Bor012	50	2	13,2	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	51	2	16,8	1	4	4	0	0	0	1	0	2010	0	0	1	1
0	Bor012	52	1	10,1	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	53	6	15,5	1	1	1	0	0	0	0	0	2010	0	0	0	0
0	Bor012	54	1	22	2	3,5	5	0	0	0	0	0	2010	0	0	0	0
0	Bor012	55	2	15,9	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Bor012	56	2	21,6	1	4	4	0	0	0	1	0	2010	0	0	1	1
0	Bor012	57	2	10,5	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Bor012	58	2	14,4	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	59	5	10,9	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Bor012	60	2	18,4	1	4	4	0	0	0	1	0	2010	0	0	1	1
0	Bor012	61	2	16,1	2	3	4	0	0	0	2	0	2010	0	0	1	1
0	Bor012	62	5	19,2	2	2,5	4	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
0	Bor012	63	1	13,8	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	64	3	15,2	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	65	2	13,3	1	1	1	0	0	0	1	0	2010	0	0	1	1
0	Bor012	66	3	17,2	1	4	4	0	1	0	0	0	2010	1	1	0	0
0	Bor012	67	2	18	2	3	4	0	0	0	2	0	2010	0	0	1	1
0	Bor012	68	8	15,5	1	4	4	0	0	0	1	0	2010	0	0	1	1
0	Bor012	69	3	19,3	2	3	4	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
0	Bor012	70	2	25,7	2	3	4	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
0	Bor012	71	2	27,2	4	2,5	4	0	0	0	0	0	2010	0	0	0	0
0	Bor012	72	3	24,5	2	3	4	0	2	0	0	0	2010	1	1	0	0
0	Bor012	73	3	17	1	3	3	0	1	0	0	0	2010	1	1	0	0
