LokalID	Predator	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack	h_shoot_mean	n_fl_mean	most_adv_mean	n_eggs_mean	n_intact_fruits_mean	attack_mean	h_shoot_sd	n_fl_sd	most_adv_sd	n_eggs_sd	n_intact_fruits_sd	attack_sd	h_shoot_sta	n_fl_sta	most_adv_sta	n_eggs_sta	n_intact_fruits_sta	attack_sta	n_intact_fruits_rel
Ale001	1	Bockemossen	75	2	20,5	4	3,5	5	0	1	0	NA	3	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,031570008	0,205724178	1,049354961	-0,577027156	1,226243217	-0,918331821	2,112676056
Ale001	1	Bockemossen	76	1	17,4	1	2	2	0	0	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,569300917	-1,376769499	-1,489407041	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	77	4	21	4	3,5	5	0	2	0	NA	2	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,055160784	0,205724178	1,049354961	-0,577027156	0,450139915	-0,918331821	1,408450704
Ale001	1	Bockemossen	78	4	25	7	3,714285714	5	3	4	0	NA	3	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,749007118	1,788217854	1,049354961	0,220706239	1,226243217	1,078041703	2,112676056
Ale001	1	Bockemossen	79	4	18,3	4	2,5	4	3	2	0	NA	2	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,413185492	0,205724178	0,20310096	0,220706239	0,450139915	1,078041703	1,408450704
Ale001	1	Bockemossen	80	4	22,3	5	2	3	1	0	2	NA	3	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,280660842	0,73322207	-0,64315304	-0,311116024	1,226243217	1,078041703	2,112676056
Ale001	1	Bockemossen	81	10	30,4	6	3,333333333	5	2	4	0	NA	2	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	1,685699669	1,260719962	1,049354961	-0,045204892	0,450139915	1,078041703	1,408450704
Ale001	1	Bockemossen	82	5	28,2	5	4,2	5	0	2	2	NA	2	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	1,304084185	0,73322207	1,049354961	-0,577027156	0,450139915	-0,918331821	1,408450704
Ale001	1	Bockemossen	83	2	19,3	4	3,5	5	6	3	1	NA	0	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,239723908	0,205724178	1,049354961	1,018439635	-1,102066688	1,078041703	0
Ale001	1	Bockemossen	84	2	20,2	5	3,4	5	6	2	0	NA	3	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,083608483	0,73322207	1,049354961	1,018439635	1,226243217	1,078041703	2,112676056
Ale001	1	Bockemossen	85	3	23,1	6	3,666666667	5	3	3	0	NA	3	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,419430109	1,260719962	1,049354961	0,220706239	1,226243217	1,078041703	2,112676056
Ale001	1	Bockemossen	86	2	21	5	3,2	5	0	2	0	NA	3	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,055160784	0,73322207	1,049354961	-0,577027156	1,226243217	-0,918331821	2,112676056
