LokalID	predator	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack	h_shoot_mean	n_fl_mean	most_adv_mean	n_eggs_mean	n_intact_fruits_mean	attack_mean	h_shoot_sd	n_fl_sd	most_adv_sd	n_eggs_sd	n_intact_fruits_sd	attack_sd	h_shoot_sta	n_fl_sta	most_adv_sta	n_eggs_sta	n_intact_fruits_sta	attack_sta	n_intact_fruits_rel
Ale001	1	Bockemossen	48	3	17,4	2	2,5	3	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,399819549	-0,59675478	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	49	1	16,3	1	2	2	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,589470909	-1,231600291	-1,183728596	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	50	1	17	2	1,5	2	0	1	0	NA	1	300	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,46878368	-0,59675478	-1,183728596	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	51	2	20	4	3	4	5	3	0	NA	1	320	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,048447302	0,672936242	0,756810086	3,635715115	0,035478744	2,054391958	1,041666667
Ale001	1	Bockemossen	52	2	14	1	3	3	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,986014661	-1,231600291	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	53	2	23,6	4	2,75	4	0	3	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,66912448	0,672936242	0,756810086	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	54	4	29,5	4	3,25	4	0	3	0	NA	1	830	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	1,68634541	0,672936242	0,756810086	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	55	1	16,2	1	3	3	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,606711941	-1,231600291	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	56	6	28,2	5	3,2	4	1	3	0	NA	2	1040	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	1,462211985	1,307781752	0,756810086	0,396770692	0,922447338	2,054391958	2,083333333
Ale001	1	Bockemossen	57	2	26,2	8	1,625	3	1	3	0	NA	3	1230	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	1,11739133	3,212318285	-0,213459255	0,396770692	1,809415932	2,054391958	3,125
Ale001	1	Bockemossen	58	2	22,4	4	2,75	4	0	2	0	NA	2	520	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,462232087	0,672936242	0,756810086	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	59	3	21,5	3	1,333333333	2	0	0	0	NA	2	560	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,307062793	0,038090731	-1,183728596	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	60	3	24,2	2	2,5	3	0	1	0	NA	1	340	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,772570676	-0,59675478	-0,213459255	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	61	2	28,2	5	3,2	4	4	5	0	NA	0	NA	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	1,462211985	1,307781752	0,756810086	2,825979009	-0,85148985	2,054391958	0
Ale001	1	Bockemossen	62	4	20,3	2	4	5	2	0	0	NA	3	1425	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,1001704	-0,59675478	1,727079427	1,206506798	1,809415932	2,054391958	3,125
Ale001	1	Bockemossen	63	2	33,4	4	2,25	4	0	2	0	NA	2	680	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	2,358745686	0,672936242	0,756810086	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	64	3	14,7	3	3,666666667	5	0	3	0	20	0	1320	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,865327432	0,038090731	1,727079427	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	65	3	19,7	3	3,333333333	4	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,003275796	0,038090731	0,756810086	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	66	2	22,8	4	3,25	4	5	4	0	NA	0	NA	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,531196218	0,672936242	0,756810086	3,635715115	-0,85148985	2,054391958	0
Ale001	1	Bockemossen	67	4	19,2	3	2,666666667	4	4	3	0	NA	0	NA	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,08948096	0,038090731	0,756810086	2,825979009	-0,85148985	2,054391958	0
Ale001	1	Bockemossen	68	1	20	1	3	3	1	1	0	100	0	0	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,048447302	-1,231600291	-0,213459255	0,396770692	-0,85148985	2,054391958	0
Ale001	1	Bockemossen	69	1	22,5	2	2	3	0	2	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,47947312	-0,59675478	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
