LokalID	date	date_julian	most_adv	phen_corr	year
Göt016	02/08/2010	214	1	0,004672897	2010
Göt016	02/08/2010	214	1	0,004672897	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	1	0,004672897	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	4	0,018691589	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	4	0,018691589	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	4	0,018691589	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	4	0,018691589	2010
Göt016	02/08/2010	214	4	0,018691589	2010
Göt016	02/08/2010	214	4	0,018691589	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	4	0,018691589	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	4	0,018691589	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	1	0,004672897	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	1	0,004672897	2010
Göt016	02/08/2010	214	1	0,004672897	2010
Göt016	02/08/2010	214	1	0,004672897	2010
Göt016	02/08/2010	214	1	0,004672897	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	2	0,009345794	2010
